index,customer_id,age,gender,annual_income,purchase_amount,purchase_date
8442,1720,34.0,Female,106900.0,312.81,2023-08-06 19:16:58+03:00
8201,1672,52.0,Male,77805.0,509.45,2023-08-06 19:16:58+03:00
5704,1182,19.0,Female,59325.0,352.38,2023-08-06 19:16:58+03:00
5717,1184,20.0,Female,65020.0,205.59,2023-08-06 19:16:58+03:00
9476,1935,22.0,Female,69810.0,182.54,2023-08-06 19:16:58+03:00
9450,1931,21.0,Female,57699.0,567.98,2023-08-06 19:16:58+03:00
7336,1508,19.0,Female,47121.0,9.52,2023-08-06 19:16:58+03:00
4069,839,68.0,Male,31335.0,832.19,2023-08-06 19:16:58+03:00
130,31,35.0,Female,83818.0,152.44,2023-08-06 19:16:58+03:00
1778,370,24.0,Male,63624.0,817.11,2023-08-06 19:16:58+03:00
6712,1383,60.0,Female,72550.0,125.92,2023-08-06 19:16:58+03:00
5829,1205,56.0,Male,90549.0,345.25,2023-08-06 19:16:58+03:00
1282,265,39.0,Female,37713.0,275.31,2023-08-06 19:16:58+03:00
8658,1767,25.0,Female,87965.0,920.22,2023-08-06 19:16:58+03:00
5969,1236,34.0,Male,74155.0,1150.56,2023-08-06 19:16:58+03:00
4075,840,31.0,Female,43250.0,757.55,2023-08-06 19:16:58+03:00
5131,1063,19.0,Female,62073.0,711.44,2023-08-06 19:16:58+03:00
3101,641,34.0,Male,90206.0,50.98,2023-08-06 19:16:58+03:00
2344,478,60.0,Male,129817.0,1224.41,2023-08-06 19:16:58+03:00
7651,1571,40.0,Male,126394.0,1179.85,2023-08-07 19:16:58+03:00
7624,1567,27.0,Female,93046.0,333.03,2023-08-07 19:16:58+03:00
2384,487,32.0,Female,72340.0,743.34,2023-08-07 19:16:58+03:00
2409,492,61.0,Female,121159.0,1026.65,2023-08-07 19:16:58+03:00
6294,1302,39.0,Male,121543.0,448.78,2023-08-07 19:16:58+03:00
5541,1147,43.0,Female,126878.0,623.03,2023-08-07 19:16:58+03:00
2383,487,32.0,Female,72340.0,356.58,2023-08-07 19:16:58+03:00
7469,1536,46.0,Female,85039.0,1101.17,2023-08-07 19:16:58+03:00
3861,794,23.0,Male,42993.0,646.55,2023-08-07 19:16:58+03:00
5557,1150,63.0,Female,88467.0,656.0,2023-08-07 19:16:58+03:00
5596,1157,38.0,Male,113730.0,171.19,2023-08-07 19:16:58+03:00
3518,727,31.0,Male,92384.0,819.48,2023-08-07 19:16:58+03:00
4487,932,39.0,Male,117214.0,1151.98,2023-08-07 19:16:58+03:00
6127,1264,32.0,Female,102031.0,157.94,2023-08-07 19:16:58+03:00
4497,935,27.0,Male,101286.0,205.64,2023-08-07 19:16:58+03:00
5774,1194,18.0,Female,58874.0,952.58,2023-08-07 19:16:58+03:00
2988,607,35.0,Male,111767.0,1301.08,2023-08-07 19:16:58+03:00
3068,631,22.0,Male,48626.0,624.26,2023-08-07 19:16:58+03:00
6765,1396,26.0,Female,107458.0,491.04,2023-08-07 19:16:58+03:00
2095,433,37.0,Female,127770.0,1333.53,2023-08-07 19:16:58+03:00
3354,693,38.0,Female,84488.0,642.88,2023-08-07 19:16:58+03:00
3170,656,55.0,Female,106485.0,420.38,2023-08-07 19:16:58+03:00
7335,1508,19.0,Female,47121.0,613.61,2023-08-07 19:16:58+03:00
5449,1135,38.0,Female,128371.0,877.33,2023-08-07 19:16:58+03:00
2311,472,19.0,Female,53065.0,976.41,2023-08-07 19:16:58+03:00
9752,1992,24.0,Female,44754.0,531.8,2023-08-07 19:16:58+03:00
39,7,28.0,Female,105233.0,1150.42,2023-08-07 19:16:58+03:00
1401,289,34.0,Male,90712.0,1132.46,2023-08-07 19:16:58+03:00
9694,1979,39.0,Female,113951.0,1102.57,2023-08-07 19:16:58+03:00
1206,248,63.0,Male,108685.0,743.49,2023-08-07 19:16:58+03:00
1370,283,32.0,Female,88062.0,296.55,2023-08-07 19:16:58+03:00
7989,1634,39.0,Male,86436.0,516.86,2023-08-07 19:16:58+03:00
9475,1935,22.0,Female,69810.0,117.49,2023-08-07 19:16:58+03:00
7943,1626,21.0,Female,60216.0,857.62,2023-08-07 19:16:58+03:00
